#Index 	 Atom 	 EPred (H) 	 ERef (H) 	 EErr (H) 	 RhoErr 	 EPAtm (H) 	 ERAtm (H) 	 EAErr (H)
0 	 S2 	 -796.4981469638717 	 -795.7439189734063 	 -0.7542279904654379 	 0.03591943178047966 	 -0.1759021333414239 	 -0.1652790172181213 	 -0.010623116123302606
1 	 C2H2 	 -77.31511904121047 	 -77.23364708420903 	 -0.08147195700144039 	 0.006633411372733525 	 -0.6456833076702857 	 -0.6458922998762915 	 0.00020899220600578694
2 	 HBe 	 -15.242319817511072 	 -15.213086658834586 	 -0.02923315867648668 	 0.006162678585601279 	 -0.09646092043751858 	 -0.08093697552392216 	 -0.015523944913596419
3 	 NO2 	 -205.10225048604923 	 -204.87297985889361 	 -0.2292706271556142 	 0.019501803560605567 	 -0.3829113930244432 	 -0.36339749810529004 	 -0.019513894919153174
4 	 CH4 	 -40.5058304242947 	 -40.46144804424925 	 -0.044382380045448144 	 0.0051014150065809465 	 -0.6714604474784096 	 -0.6695182791315805 	 -0.0019421683468291429
5 	 F3P 	 -641.1024375338746 	 -640.4601109820627 	 -0.6423265518119479 	 0.03230403791459657 	 -0.5811879429373334 	 -0.5830966332662726 	 0.0019086903289391444
6 	 CH2 	 -39.13015088626658 	 -39.08309334882895 	 -0.047057537437623864 	 0.010030410500536609 	 -0.29554898281442016 	 -0.28849746875574045 	 -0.007051514058679709
7 	 C2H4O2 	 -229.07575846093744 	 -228.8242969783602 	 -0.2514614825772412 	 0.01686164463589472 	 -1.272610168913003 	 -1.2540889175521006 	 -0.018521251360902324
8 	 H 	 -0.4998840366978815 	 -0.49981791563041966 	 -6.612106746184399e-05 	 0.0024146389215368613 	 nan 	 nan 	 nan
9 	 N2O 	 -184.6784775024397 	 -184.47881913926975 	 -0.19965836316995933 	 0.014696026071917844 	 -0.44071604407031373 	 nan 	 nan
10 	 HN2O 	 -185.16281898496692 	 -184.94901512929493 	 -0.21380385567198346 	 0.020853092953537992 	 -0.42517348991547976 	 nan 	 nan
11 	 HO 	 -75.74168599240645 	 -75.6622671033986 	 -0.07941888900784022 	 0.05757291784204702 	 -0.174829713164323 	 nan 	 nan
12 	 Cl 	 -460.2042848108829 	 -459.75483999758393 	 -0.44944481329895325 	 0.19392239302660477 	 nan 	 nan 	 nan
13 	 HClO 	 -535.9486652303059 	 -535.4004261314922 	 -0.548239098813724 	 0.04953651448826608 	 -0.17752232857169759 	 nan 	 nan
