#Index 	 Atom 	 EPred (H) 	 ERef (H) 	 EErr (H) 	 RhoErr 	 EPAtm (H) 	 ERAtm (H) 	 EAErr (H)
0 	 S2 	 -796.4838179381024 	 -795.7439189734063 	 -0.7398989646961809 	 0.03605687853122945 	 -0.17408796342090227 	 -0.1652790172181213 	 -0.00880894620278097
1 	 C2H2 	 -77.31571410708821 	 -77.23364708420903 	 -0.08206702287918688 	 0.006209477802583304 	 -0.6421321954530105 	 -0.6458922998762915 	 0.0037601044232810077
2 	 HBe 	 -15.244780854289294 	 -15.213086658834586 	 -0.03169419545470831 	 0.0060143903155422595 	 -0.09659571948043244 	 -0.08093697552392216 	 -0.015658743956510277
3 	 NO2 	 -205.09852426765076 	 -204.87297985889361 	 -0.22554440875714477 	 0.019801849078814878 	 -0.3783945602298502 	 -0.36339749810529004 	 -0.014997062124560145
4 	 CH4 	 -40.5068223193867 	 -40.46144804424925 	 -0.04537427513744774 	 0.004603612928396425 	 -0.6701128906034733 	 -0.6695182791315805 	 -0.0005946114718928808
5 	 F3P 	 -641.0876225868855 	 -640.4601109820627 	 -0.6275116048227574 	 0.03191274651134283 	 -0.575595499574689 	 -0.5830966332662726 	 0.007501133691583561
6 	 CH2 	 -39.1313119161676 	 -39.08309334882895 	 -0.048218567338643936 	 0.009745818981937746 	 -0.29454813602812124 	 -0.28849746875574045 	 -0.006050667272380794
7 	 C2H4O2 	 -229.0743563914856 	 -228.8242969783602 	 -0.25005941312539903 	 0.01634254970901744 	 -1.2669021543280499 	 -1.2540889175521006 	 -0.012813236775949255
8 	 H 	 -0.4999728243376976 	 -0.49981791563041966 	 -0.00015490870727791206 	 0.0024345682733320304 	 nan 	 nan 	 nan
9 	 N2O 	 -184.67508558067578 	 -184.47881913926975 	 -0.19626644140603844 	 0.014320335850082685 	 -0.4357161811518466 	 nan 	 nan
10 	 HN2O 	 -185.15973416680663 	 -184.94901512929493 	 -0.2107190375116943 	 0.020564059235711724 	 -0.42039194296080495 	 nan 	 nan
11 	 HO 	 -75.74108500555016 	 -75.6622671033986 	 -0.07881790215155604 	 0.3487672231314437 	 -0.17414884278899223 	 nan 	 nan
12 	 Cl 	 -460.1969776676037 	 -459.75483999758393 	 -0.442137670019747 	 0.19043103722487104 	 nan 	 nan 	 nan
13 	 HClO 	 -535.9398514698312 	 -535.4004261314922 	 -0.5394253383390151 	 0.048112973038606566 	 -0.17593899424657877 	 nan 	 nan
