#Index 	 Atom 	 EPred (H) 	 ERef (H) 	 EErr (H) 	 RhoErr 	 EPAtm (H) 	 ERAtm (H) 	 EAErr (H)
0 	 S2 	 -796.4605424262254 	 -795.7439189734063 	 -0.7166234528191353 	 0.0355221285486838 	 -0.17360320267277984 	 -0.1652790172181213 	 -0.008324185454658545
1 	 C2H2 	 -77.31242945202698 	 -77.23364708420903 	 -0.07878236781795067 	 0.006071405065559323 	 -0.6407254764919039 	 -0.6458922998762915 	 0.005166823384387564
2 	 HBe 	 -15.244682895550136 	 -15.213086658834586 	 -0.031596236715550674 	 0.005935456336052623 	 -0.09653960180666249 	 -0.08093697552392216 	 -0.015602626282740326
3 	 NO2 	 -205.08998780862356 	 -204.87297985889361 	 -0.21700794972994686 	 0.019775466617300615 	 -0.37710902642683664 	 -0.36339749810529004 	 -0.013711528321546596
4 	 CH4 	 -40.50493938466411 	 -40.46144804424925 	 -0.04349134041486025 	 0.004476096153703687 	 -0.669191627220376 	 -0.6695182791315805 	 0.00032665191120451187
5 	 F3P 	 -641.0639682292491 	 -640.4601109820627 	 -0.6038572471863972 	 0.03144337585249332 	 -0.5738033864219574 	 -0.5830966332662726 	 0.009293246844315206
6 	 CH2 	 -39.12982084260681 	 -39.08309334882895 	 -0.04672749377785834 	 0.009593842567588244 	 -0.29400359828054207 	 -0.28849746875574045 	 -0.005506129524801617
7 	 C2H4O2 	 -229.06463826077777 	 -228.8242969783602 	 -0.24034128241757458 	 0.016106229460395468 	 -1.2644682273567796 	 -1.2540889175521006 	 -0.010379309804678938
8 	 H 	 -0.49996525657455526 	 -0.49981791563041966 	 -0.00014734094413559884 	 0.0024318855109075085 	 nan 	 nan 	 nan
9 	 N2O 	 -184.66726312388897 	 -184.47881913926975 	 -0.1884439846192265 	 0.01415399823303022 	 -0.4343088766482026 	 nan 	 nan
10 	 HN2O 	 -185.15190866564063 	 -184.94901512929493 	 -0.20289353634569807 	 0.020413102516720485 	 -0.418989161841111 	 nan 	 nan
11 	 HO 	 -75.73801816815052 	 -75.6622671033986 	 -0.07575106475191262 	 0.3656335142078318 	 -0.1737851392075574 	 nan 	 nan
12 	 Cl 	 -460.18424631524397 	 -459.75483999758393 	 -0.4294063176600389 	 0.19842182277860682 	 nan 	 nan 	 nan
13 	 HClO 	 -535.9237505903794 	 -535.4004261314922 	 -0.5233244588872594 	 0.047548531524073324 	 -0.17527271020185253 	 nan 	 nan
