#Index 	 Atom 	 EPred (H) 	 ERef (H) 	 EErr (H) 	 RhoErr 	 EPAtm (H) 	 ERAtm (H) 	 EAErr (H)
0 	 S2 	 -796.4964263496229 	 -795.7439189734063 	 -0.752507376216613 	 0.03635923496974785 	 -0.1743138974792373 	 -0.1652790172181213 	 -0.009034880261116013
1 	 C2H2 	 -77.3175436976417 	 -77.23364708420903 	 -0.08389661343267107 	 0.006298086642205749 	 -0.6428483584777496 	 -0.6458922998762915 	 0.003043941398541916
2 	 HBe 	 -15.244886264284313 	 -15.213086658834586 	 -0.03179960544972715 	 0.0060580628826834 	 -0.09662600277917649 	 -0.08093697552392216 	 -0.015689027255254326
3 	 NO2 	 -205.10322122520301 	 -204.87297985889361 	 -0.23024136630940006 	 0.019836231693839725 	 -0.37910615547224324 	 -0.36339749810529004 	 -0.015708657366953205
4 	 CH4 	 -40.5078802351033 	 -40.46144804424925 	 -0.04643219085404837 	 0.004691221269741737 	 -0.6705929646409743 	 -0.6695182791315805 	 -0.0010746855093938246
5 	 F3P 	 -641.1005787793616 	 -640.4601109820627 	 -0.6404677972989248 	 0.03219645974362839 	 -0.5765073589402618 	 -0.5830966332662726 	 0.006589274326010752
6 	 CH2 	 -39.13215896703403 	 -39.08309334882895 	 -0.049065618205077044 	 0.00983827954571045 	 -0.2948314304919392 	 -0.28849746875574045 	 -0.006333961736198768
7 	 C2H4O2 	 -229.07969009539931 	 -228.8242969783602 	 -0.2553931170391195 	 0.016498114591423294 	 -1.2681805695056596 	 -1.2540889175521006 	 -0.014091651953558992
8 	 H 	 -0.49997986697594 	 -0.49981791563041966 	 -0.00016195134552032808 	 0.0024363260879224575 	 nan 	 nan 	 nan
9 	 N2O 	 -184.67938807588723 	 -184.47881913926975 	 -0.20056893661748632 	 0.014432368045611097 	 -0.4364396156398982 	 nan 	 nan
10 	 HN2O 	 -185.16404309028576 	 -184.94901512929493 	 -0.21502796099082389 	 0.020668268739402328 	 -0.4211147630783074 	 nan 	 nan
11 	 HO 	 -75.74287475040144 	 -75.6622671033986 	 -0.08060764700283585 	 0.3199299928402944 	 -0.1744676570365868 	 nan 	 nan
12 	 Cl 	 -460.203875796459 	 -459.75483999758393 	 -0.44903579887505884 	 0.22749555403774868 	 nan 	 nan 	 nan
13 	 HClO 	 -535.9486130116248 	 -535.4004261314922 	 -0.5481868801326755 	 0.04842498022857406 	 -0.17633151070081965 	 nan 	 nan
