#Index 	 Atom 	 EPred (H) 	 ERef (H) 	 EErr (H) 	 RhoErr 	 EPAtm (H) 	 ERAtm (H) 	 EAErr (H)
0 	 S2 	 -796.4950569180558 	 -795.7439189734063 	 -0.7511379446494857 	 0.03592211312210901 	 -0.17563241871243918 	 -0.1652790172181213 	 -0.010353401494317876
1 	 C2H2 	 -77.31499101255176 	 -77.23364708420903 	 -0.08134392834273285 	 0.0065516822704861696 	 -0.6451146376157753 	 -0.6458922998762915 	 0.000777662260516232
2 	 HBe 	 -15.242629772168518 	 -15.213086658834586 	 -0.02954311333393278 	 0.006133102980703149 	 -0.09647399196347206 	 -0.08093697552392216 	 -0.015537016439549897
3 	 NO2 	 -205.10125252723037 	 -204.87297985889361 	 -0.22827266833675708 	 0.01951707505634112 	 -0.38224968094459655 	 -0.36339749810529004 	 -0.01885218283930651
4 	 CH4 	 -40.505837014849334 	 -40.46144804424925 	 -0.044388970600081734 	 0.005002653101948738 	 -0.6712094979828407 	 -0.6695182791315805 	 -0.0016912188512602233
5 	 F3P 	 -641.0991335141907 	 -640.4601109820627 	 -0.6390225321280241 	 0.03221386167731105 	 -0.5803055699404638 	 -0.5830966332662726 	 0.002791063325808807
6 	 CH2 	 -39.13020805335648 	 -39.08309334882895 	 -0.04711470452753019 	 0.009974945643222 	 -0.29537342275565814 	 -0.28849746875574045 	 -0.006875953999917694
7 	 C2H4O2 	 -229.07500925283864 	 -228.8242969783602 	 -0.25071227447844535 	 0.016751148989566637 	 -1.2717238961350126 	 -1.2540889175521006 	 -0.017634978582911964
8 	 H 	 -0.4998964431486496 	 -0.49981791563041966 	 -7.852751822995385e-05 	 0.002417510664363859 	 nan 	 nan 	 nan
9 	 N2O 	 -184.67756323067988 	 -184.47881913926975 	 -0.19874409141013416 	 0.014613507140752081 	 -0.43998168136127447 	 nan 	 nan
10 	 HN2O 	 -185.16194470994088 	 -184.94901512929493 	 -0.21292958064594814 	 0.020780719456088222 	 -0.42446671748946585 	 nan 	 nan
11 	 HO 	 -75.74142235410538 	 -75.6622671033986 	 -0.07915525070677631 	 0.22449063238704897 	 -0.1747178632215658 	 nan 	 nan
12 	 Cl 	 -460.2026710771748 	 -459.75483999758393 	 -0.44783107959085555 	 0.1790701810188376 	 nan 	 nan 	 nan
13 	 HClO 	 -535.9466422766087 	 -535.4004261314922 	 -0.5462161451165457 	 0.049296492157805086 	 -0.1772743496288598 	 nan 	 nan
