#Index 	 Atom 	 EPred (H) 	 ERef (H) 	 EErr (H) 	 RhoErr 	 EPAtm (H) 	 ERAtm (H) 	 EAErr (H)
0 	 S2 	 -796.4897813712224 	 -795.7439189734063 	 -0.745862397816154 	 0.035892462462393505 	 -0.17540642860205935 	 -0.1652790172181213 	 -0.01012741138393805
1 	 C2H2 	 -77.31434201139378 	 -77.23364708420903 	 -0.08069492718475146 	 0.0064739611811671155 	 -0.6445271672820355 	 -0.6458922998762915 	 0.0013651325942559689
2 	 HBe 	 -15.242776183161281 	 -15.213086658834586 	 -0.02968952432669525 	 0.006104902399515695 	 -0.0964697166547187 	 -0.08093697552392216 	 -0.015532741130796543
3 	 NO2 	 -205.09924568373395 	 -204.87297985889361 	 -0.22626582484033975 	 0.01951832729704162 	 -0.38165434905778284 	 -0.36339749810529004 	 -0.018256850952492798
4 	 CH4 	 -40.505515374220565 	 -40.46144804424925 	 -0.044067329971312574 	 0.00491204260231577 	 -0.6709023483069104 	 -0.6695182791315805 	 -0.0013840691753299605
5 	 F3P 	 -641.0935193622681 	 -640.4601109820627 	 -0.6334083802054238 	 0.03210616830042449 	 -0.5795570098456437 	 -0.5830966332662726 	 0.003539623420628857
6 	 CH2 	 -39.1299866334004 	 -39.08309334882895 	 -0.04689328457144626 	 0.009919166923643202 	 -0.29517734339193447 	 -0.28849746875574045 	 -0.0066798746361940164
7 	 C2H4O2 	 -229.0729512696613 	 -228.8242969783602 	 -0.24865429130110783 	 0.01664063194554995 	 -1.2708231300375417 	 -1.2540889175521006 	 -0.016734212485441047
8 	 H 	 -0.49990186796841063 	 -0.49981791563041966 	 -8.39523379909668e-05 	 0.0024186922377830177 	 nan 	 nan 	 nan
9 	 N2O 	 -184.6757104942626 	 -184.47881913926975 	 -0.19689135499285726 	 0.014530133958945386 	 -0.43929216432049145 	 nan 	 nan
10 	 HN2O 	 -185.1601163490996 	 -184.94901512929493 	 -0.2111012198046751 	 0.02070705156707149 	 -0.4237961512048969 	 nan 	 nan
11 	 HO 	 -75.74076208386325 	 -75.6622671033986 	 -0.07849498046464021 	 0.18551428731931036 	 -0.17460543610723545 	 nan 	 nan
12 	 Cl 	 -460.1998350898457 	 -459.75483999758393 	 -0.44499509226176315 	 0.19727733251192875 	 nan 	 nan 	 nan
13 	 HClO 	 -535.9430294368564 	 -535.4004261314922 	 -0.5426033053641959 	 0.049074411667571205 	 -0.17703272359469224 	 nan 	 nan
