0	Cl2	Cl2	rho	7.874992558797257e-05	
0	Cl	Cl	E	1.3904927503118227e-06	
0	N2	N2	rho	0.00029115643495288793	
0	N	N	E	1.913615373623136e-08	
0	Li	Li	E	2.372288465128238e-10	
0	H	H	E	2.277229218400945e-10	
0	CO2	CO2	rho	0.0003982675032949972	
0	C	C	E	1.6649595304367274e-08	
0	O	O	E	1.1909518370659395e-08	
0	O	O	E	1.2717749518460223e-08	
0	FLi	LiF	rho	0.0010748404454712136	
0	F	F	E	2.6855664025582424e-10	
0	Li	Li	E	2.3143400067270146e-10	
0	C	C	E	1.6527142576625542e-08	
0	CHN	CNH	rho	0.0007231988148324631	
0	C	C	E	1.6018105189779087e-08	
0	H	H	E	1.19759493922776e-10	
0	N	N	E	1.8607373523931858e-08	
0	Cl	Cl	E	1.3886445589960877e-06	
0	F	F	E	1.252975278862573e-10	
0	N	N	E	2.0835144379918792e-08	
0	H2	H2	rho	3.900242185411074e-05	
0	H	H	E	2.8651845441975896e-10	
1	C	C	E	1.6007401048217246e-08	
1	Li	Li	E	8.01731844223572e-10	
1	CHN	CNH	rho	0.0007244533156186008	
1	C	C	E	5.483750688389662e-09	
1	H	H	E	2.23702227917199e-10	
1	N	N	E	5.029836826343882e-09	
1	F	F	E	1.808302127180886e-08	
1	Cl2	Cl2	rho	7.897498785522376e-05	
1	Cl	Cl	E	2.0279228215766102e-06	
1	N	N	E	9.233401733660594e-09	
1	N2	N2	rho	0.0002922915267359755	
1	N	N	E	1.0454567595836381e-08	
1	O	O	E	5.342407632887668e-09	
1	FLi	LiF	rho	0.0010752848611185676	
1	F	F	E	2.2365617416918957e-09	
1	Li	Li	E	1.1202125868591906e-09	
1	Cl	Cl	E	1.4325078098627868e-06	
1	CO2	CO2	rho	0.00039803476275133276	
1	C	C	E	1.3060384408327187e-08	
1	O	O	E	1.0349040005042525e-08	
1	H2	H2	rho	3.9277580545791145e-05	
1	H	H	E	2.1940229050145788e-10	
1	H	H	E	1.4846981453397035e-10	
