#Index 	 Atom 	 EPred (H) 	 ERef (H) 	 EErr (H) 	 RhoErr 	 EPAtm (H) 	 ERAtm (H) 	 EAErr (H)
0 	 S2 	 -796.502493451937 	 -795.7439189734063 	 -0.7585744785307043 	 0.036433797676014054 	 -0.17456975185973533 	 -0.1652790172181213 	 -0.009290734641614035
1 	 C2H2 	 -77.31829420138772 	 -77.23364708420903 	 -0.08464711717869022 	 0.006361511322947428 	 -0.6434160543428806 	 -0.6458922998762915 	 0.002476245533410859
2 	 HBe 	 -15.244760150672045 	 -15.213086658834586 	 -0.03167349183745927 	 0.006083032132334788 	 -0.0966334463953134 	 -0.08093697552392216 	 -0.01569647087139124
3 	 NO2 	 -205.10546759002938 	 -204.87297985889361 	 -0.2324877311357625 	 0.019822648319016964 	 -0.37972896981301574 	 -0.36339749810529004 	 -0.016331471707725698
4 	 CH4 	 -40.50826301116794 	 -40.46144804424925 	 -0.04681496691868858 	 0.004758881579990654 	 -0.6708939944460361 	 -0.6695182791315805 	 -0.0013757153144556833
5 	 F3P 	 -641.1068780924353 	 -640.4601109820627 	 -0.6467671103725934 	 0.03231455068827755 	 -0.5772887518089931 	 -0.5830966332662726 	 0.005807881457279507
6 	 CH2 	 -39.13243472932748 	 -39.08309334882895 	 -0.04934138049852521 	 0.009889048188328232 	 -0.2950190080718987 	 -0.28849746875574045 	 -0.006521539316158231
7 	 C2H4O2 	 -229.0820602235044 	 -228.8242969783602 	 -0.25776324514421844 	 0.01659034831007356 	 -1.2691230649948038 	 -1.2540889175521006 	 -0.01503414744270315
8 	 H 	 -0.49997664774898465 	 -0.49981791563041966 	 -0.00015873211856498592 	 0.002435712766573912 	 nan 	 nan 	 nan
9 	 N2O 	 -184.68145587000436 	 -184.47881913926975 	 -0.20263673073461064 	 0.014500279650654166 	 -0.43713720356929286 	 nan 	 nan
10 	 HN2O 	 -185.16609090939045 	 -184.94901512929493 	 -0.21707578009551298 	 0.02072411367098367 	 -0.4217955952222212 	 nan 	 nan
11 	 HO 	 -75.74357606695789 	 -75.6622671033986 	 -0.0813089635592803 	 0.01860376262496771 	 -0.17454656122549844 	 nan 	 nan
12 	 Cl 	 -460.20714956357034 	 -459.75483999758393 	 -0.45230956598641114 	 0.22743712957232257 	 nan 	 nan 	 nan
13 	 HClO 	 -535.9527603383293 	 -535.4004261314922 	 -0.5523342068371448 	 0.048638073467681946 	 -0.17657773955453138 	 nan 	 nan
