#Index 	 Atom 	 EPred (H) 	 ERef (H) 	 EErr (H) 	 RhoErr 	 EPAtm (H) 	 ERAtm (H) 	 EAErr (H)
0 	 S2 	 -796.5001713380683 	 -795.7439189734063 	 -0.756252364662032 	 0.03630131035935557 	 -0.17486065679702278 	 -0.1652790172181213 	 -0.009581639578901485
1 	 C2H2 	 -77.31728018952101 	 -77.23364708420903 	 -0.0836331053119892 	 0.00640677873997038 	 -0.6438507826178572 	 -0.6458922998762915 	 0.0020415172584342667
2 	 HBe 	 -15.244142197215028 	 -15.213086658834586 	 -0.031055538380442727 	 0.006093949342257947 	 -0.09658462422200736 	 -0.08093697552392216 	 -0.0156476486980852
3 	 NO2 	 -205.10411699804195 	 -204.87297985889361 	 -0.23113713914833056 	 0.019729373809961506 	 -0.3804477988627184 	 -0.36339749810529004 	 -0.01705030075742836
4 	 CH4 	 -40.507524948692705 	 -40.46144804424925 	 -0.046076904443452804 	 0.0048155341704218925 	 -0.6709457703563473 	 -0.6695182791315805 	 -0.0014274912247668192
5 	 F3P 	 -641.1043593004639 	 -640.4601109820627 	 -0.6442483184011962 	 0.03228380517597517 	 -0.5781184119351792 	 -0.5830966332662726 	 0.00497822133109338
6 	 CH2 	 -39.13176675922985 	 -39.08309334882895 	 -0.04867341040089457 	 0.009908875627482654 	 -0.2950972308166761 	 -0.28849746875574045 	 -0.006599762060935654
7 	 C2H4O2 	 -229.07987731048036 	 -228.8242969783602 	 -0.25558033212016085 	 0.016623199380810708 	 -1.269830214586145 	 -1.2540889175521006 	 -0.015741297034044477
8 	 H 	 -0.4999548249774137 	 -0.49981791563041966 	 -0.00013690934699406299 	 0.002430799488345825 	 nan 	 nan 	 nan
9 	 N2O 	 -184.68020358487297 	 -184.47881913926975 	 -0.20138444560322455 	 0.01452218678423794 	 -0.437927245116299 	 nan 	 nan
10 	 HN2O 	 -185.1647666385602 	 -184.94901512929493 	 -0.2157515092652602 	 0.020728473581335612 	 -0.42253547384190426 	 nan 	 nan
11 	 HO 	 -75.74294827105794 	 -75.6622671033986 	 -0.08068116765933553 	 0.32001912838548213 	 -0.17463942656241999 	 nan 	 nan
12 	 Cl 	 -460.2057638792648 	 -459.75483999758393 	 -0.4509238816808647 	 0.19148191226799824 	 nan 	 nan 	 nan
13 	 HClO 	 -535.9508532012593 	 -535.4004261314922 	 -0.5504270697671245 	 0.0488106652284005 	 -0.17677310963624393 	 nan 	 nan
